Deneme No,Irk,Ahir Tipi,Bakici Sayisi,Havalandirma (%),Kolostrum,Son Saat,Final Bagisiklik,Final Saglik,Ilk Bilanco (TL),Final Bilanco (TL),Sonuc
73,angus,open,5,81,9. Saat,72,53.0,88.0,13985,20825.00,SUCCESS
74,simental,semi,6,63,Verilmedi,72,0.0,25.0,7814,1404.00,SUCCESS
75,simental,climate,4,67,6. Saat,72,64.0,94.0,15961,20281.00,SUCCESS
76,holstein,climate,8,29,5. Saat,72,90.0,97.0,23654,24494.00,SUCCESS
77,angus,climate,2,14,6. Saat,72,95.0,94.0,7094,12104.00,SUCCESS
78,simental,open,1,97,10. Saat,72,83.0,42.0,16965,15885.00,SUCCESS
79,simental,semi,5,9,10. Saat,72,45.0,28.0,13274,6984.00,SUCCESS
80,simental,open,6,21,9. Saat,72,56.0,74.5,24345,26115.00,SUCCESS
81,angus,open,5,9,5. Saat,72,54.0,92.0,21048,26988.00,SUCCESS
82,angus,climate,2,11,9. Saat,65,44.0,1.0,16864,11364.00,DEATH
83,simental,open,7,48,2. Saat,72,66.0,68.5,18400,19550.00,SUCCESS
84,simental,climate,6,74,2. Saat,72,100.0,100.0,11168,14048.00,SUCCESS
85,angus,open,8,29,1. Saat,72,67.0,100.0,12636,16716.00,SUCCESS
86,simental,climate,5,3,7. Saat,72,50.0,92.0,16220,18920.00,SUCCESS
87,angus,open,3,67,3. Saat,72,99.0,100.0,18080,26360.00,SUCCESS
88,simental,semi,7,28,8. Saat,72,70.0,92.0,9713,13433.00,SUCCESS
89,angus,open,2,74,5. Saat,72,84.0,100.0,9252,18252.00,SUCCESS
90,holstein,semi,6,28,4. Saat,72,83.0,85.0,22869,27159.00,SUCCESS
91,angus,climate,6,66,11. Saat,72,45.0,29.0,20626,12606.00,SUCCESS
92,simental,semi,6,76,Verilmedi,72,0.0,0.0,23745,16235.00,SUCCESS
93,angus,open,2,70,9. Saat,72,81.0,100.0,6625,15625.00,SUCCESS
94,simental,open,4,87,Verilmedi,71,0.0,0.0,16994,11999.00,DEATH
95,simental,semi,7,49,1. Saat,72,85.0,100.0,7102,11172.00,SUCCESS
96,simental,open,5,68,3. Saat,72,71.0,69.5,14240,17380.00,SUCCESS
97,simental,climate,7,5,10. Saat,56,27.0,40.0,7671,-49.00,BANKRUPT
98,angus,climate,4,20,7. Saat,72,72.0,88.0,7678,11248.00,SUCCESS
99,simental,climate,2,73,7. Saat,72,86.0,100.0,18178,23938.00,SUCCESS
100,holstein,open,4,86,4. Saat,72,65.0,31.5,22423,17883.00,SUCCESS
101,angus,semi,4,42,3. Saat,72,83.0,100.0,15154,21284.00,SUCCESS
102,holstein,climate,3,81,11. Saat,72,65.0,95.0,23551,28591.00,SUCCESS
103,simental,open,3,41,9. Saat,72,81.0,95.0,6289,14219.00,SUCCESS
104,angus,climate,3,15,Verilmedi,72,0.0,29.0,16175,9565.00,SUCCESS
105,angus,climate,7,79,11. Saat,52,39.0,47.0,5324,-66.00,BANKRUPT
106,angus,climate,8,35,3. Saat,72,100.0,100.0,18235,19225.00,SUCCESS
107,angus,open,3,50,5. Saat,72,59.0,84.0,12824,20904.00,SUCCESS
108,angus,climate,7,63,8. Saat,72,78.0,92.0,21078,23238.00,SUCCESS
109,holstein,semi,5,49,9. Saat,51,34.0,0.0,9979,4009.00,DEATH
110,holstein,climate,4,47,3. Saat,72,67.0,90.0,14856,18876.00,SUCCESS
111,angus,semi,2,58,10. Saat,72,34.0,28.0,6085,1755.00,SUCCESS
112,simental,open,5,5,1. Saat,72,97.0,95.0,8873,14813.00,SUCCESS
113,holstein,semi,8,0,Verilmedi,59,0.0,3.5,8022,222.00,DEATH
114,holstein,climate,1,49,10. Saat,45,61.0,0.0,13899,12849.00,DEATH
115,simental,open,2,7,7. Saat,72,70.0,41.5,13788,13638.00,SUCCESS
116,angus,semi,7,25,11. Saat,72,61.0,98.0,17238,20958.00,SUCCESS
117,holstein,open,6,58,11. Saat,72,77.0,29.5,10889,4859.00,SUCCESS
118,simental,open,7,87,2. Saat,72,64.0,68.5,15202,19452.00,SUCCESS
119,angus,climate,8,69,10. Saat,62,35.0,32.0,8868,-42.00,BANKRUPT
120,simental,open,4,59,8. Saat,72,88.0,95.0,24001,31511.00,SUCCESS
121,simental,climate,8,84,5. Saat,72,67.0,83.0,13060,14500.00,SUCCESS
122,holstein,climate,6,34,2. Saat,72,100.0,100.0,8472,10902.00,SUCCESS
123,holstein,semi,8,9,5. Saat,72,65.0,38.5,16856,9556.00,SUCCESS
124,angus,semi,7,71,3. Saat,72,100.0,100.0,16080,20400.00,SUCCESS
125,angus,climate,8,63,9. Saat,72,50.0,88.0,16784,18224.00,SUCCESS
126,angus,climate,6,94,3. Saat,72,100.0,100.0,12079,14959.00,SUCCESS
127,simental,open,3,32,11. Saat,72,42.0,5.5,17292,12622.00,SUCCESS
128,angus,climate,3,90,10. Saat,72,29.0,24.0,14093,6983.00,SUCCESS
129,holstein,open,1,90,5. Saat,42,66.0,2.5,15683,15103.00,DEATH
130,angus,climate,2,63,3. Saat,72,71.0,96.0,22654,28414.00,SUCCESS
131,simental,semi,8,84,Verilmedi,72,0.0,38.0,19559,13509.00,SUCCESS
132,holstein,semi,3,76,7. Saat,72,66.0,38.5,12850,10150.00,SUCCESS
133,holstein,open,1,59,6. Saat,50,100.0,0.3,6792,6242.00,DEATH
134,holstein,open,5,92,5. Saat,72,100.0,68.5,12212,14552.00,SUCCESS
135,simental,semi,2,1,10. Saat,67,31.0,1.0,6504,724.00,DEATH
136,holstein,climate,7,86,6. Saat,72,78.0,88.0,12252,14412.00,SUCCESS
137,holstein,open,2,15,2. Saat,72,68.0,0.0,21507,16557.00,SUCCESS
138,simental,climate,6,25,8. Saat,72,56.0,89.0,5241,7521.00,SUCCESS
139,holstein,open,2,24,9. Saat,47,39.0,0.0,5663,1338.00,DEATH
140,holstein,semi,5,56,5. Saat,72,90.0,89.0,24093,29753.00,SUCCESS
141,holstein,semi,5,40,2. Saat,72,62.0,46.5,24360,19820.00,SUCCESS
142,angus,climate,1,31,1. Saat,31,84.0,0.0,7447,7587.00,DEATH
143,angus,semi,8,40,1. Saat,72,100.0,100.0,22507,25707.00,SUCCESS
144,simental,climate,4,2,6. Saat,72,50.0,91.0,15025,18445.00,SUCCESS
145,angus,climate,8,70,6. Saat,72,51.0,95.0,14563,16003.00,SUCCESS
146,holstein,climate,8,92,1. Saat,72,100.0,100.0,20117,21557.00,SUCCESS
147,holstein,climate,2,27,1. Saat,72,67.0,84.0,21600,26760.00,SUCCESS
148,holstein,semi,6,30,3. Saat,72,79.0,43.5,13004,7744.00,SUCCESS
149,holstein,semi,1,85,Verilmedi,38,0.0,1.0,19561,17521.00,DEATH
150,simental,climate,5,81,Verilmedi,72,0.0,22.0,24224,16174.00,SUCCESS
